sku,imageKeywords
10102297,"striped sweater;""knitted garment"";""long sleeves"";""crew neck"";""child's sweater"";""toddler clothing"";""white and navy stripes"";""casual style"";""fall fashion"";""handmade clothing"";""cozy wear"";""classic design"";""ribbed cuffs"";""buttoned shoulder"";""comfortable fit"";""everyday wear"";""chunky knit"";""Millamia pattern"";""Scandinavian design"";""warm sweater"""
10111409,"knitting pattern;""sweater"";""pullover"";""cable knit"";""long sleeves"";""round neck"";""ribbed cuffs"";""ribbed hem"";""women's sweater"";""pink sweater"";""fall fashion"";""winter wear"";""woolen garment"";""knitwear"";""fashion knit"";""square neckline"";""textured knit"";""classic style"""
10111577,"green sweater;""green hat"";""knitted sweater"";""knitted hat"";""cable knit"";""toddler"";""children's clothing"";""collared sweater"";""pom-pom hat"";""buttoned sweater"";""long sleeve sweater"";""cozy knit"";""winter garment"";""green and brown"";""handmade knit"";""gift set"";""baby apparel"";""winter accessories"";""warm clothing"";""teddy bear"";""nursery decor"""
10113083,"knitted sweater;""long sleeves"";""V-neck"";""pink"";""textured knit"";""cabled pattern"";""women's clothing"";""casual style"";""soft yarn"";""handmade"";""warm garment"";""crew neckline"";""fall fashion"";""winter fashion"";""body-fitting"";""semi-fitted"";""knitted pullover"""
10114137,"crochet;""top"";""tank top"";""sleeveless"";""summer"";""spring"";""lightweight"";""lace"";""square neckline"";""casual"";""white"";""textured pattern"";""handmade"";""yarn"";""women's clothing"";""easy pattern"""
10119086,"knitting;""crochet"";""cardigan"";""child's cardigan"";""long sleeve"";""white cardigan"";""eyelet pattern"";""buttoned front"";""v-neck"";""lace knitting"";""casual wear"";""spring knit"";""girl's sweater"";""textured knitting"";""handmade"";""patterned knitting"";""cabled knitting"";""fashion"";""soft"";""cozy"";""layered look"";""delicate design"""
10119118,"crochet cardigan;""open front cardigan"";""lace crochet"";""beach cover-up"";""summer cardigan"";""lightweight crochet"";""long sleeve cardigan"";""women's cardigan"";""easy crochet pattern"";""bohemian style"";""casual wear"";""layering piece"";""handmade garment"";""crochet clothing"";""textured design"";""outdoor wear"";""relaxed fit"";""vacation wear"";""brown cardigan"";""crochet project"""
10119126,"crochet;""sweater"";""yellow"";""short-sleeve"";""openwork"";""summer"";""beachwear"";""lightweight"";""round neck"";""pull-over"";""scalloped edge"";""airy"";""pattern"";""leisure"";""layering"";""casual"";""female model"";""crocheted top"";""rectangular stitches"";""relaxed fit"";""beginner friendly"";""pink sweater"";""striped"";""holes"";""netted"";""cotton yarn"""
10119404,"knitted;""cardigan"";""lace pattern"";""blue"";""button-up"";""long sleeves"";""women's garment"";""spring fashion"";""lightweight"";""elegant"";""classic"";""openwork"";""crew neck"";""layering"";""casual"";""handmade"";""DIY"";""soft texture"";""comfy"";""chic"""
10119436,"baby cardigan;""purple"";""knitted"";""cable stitches"";""buttons"";""long sleeves"";""round neckline"";""spring"";""casual wear"";""infant clothing"";""textured pattern"";""toddler"";""handmade"";""soft yarn"";""playtime"";""gift idea"";""seasonal wear"";""comfortable"";""versatile"";""layering piece"""
10119462,"crochet blanket;""baby blanket"";""lacy design"";""blue blanket"";""pink blanket"";""white blanket"";""geometric pattern"";""circle pattern"";""rectangular blanket"";""soft texture"";""decorative throw"";""nursery decor"";""handmade blanket"";""gift idea"";""beginner-friendly pattern"";""home decor"";""cotton yarn"";""delicate stitch"";""warm blanket"";""cozy blanket"""
10119472,"baby cardigan;""knitted"";""short sleeves"";""lace pattern"";""button closure"";""pink"";""spring"";""summer"";""delicate"";""layered"";""pastel"";""lightweight"";""cropped length"";""round neck"";""openwork"";""toddler"";""simple stitches"";""dressy"";""feminine"";""cozy"""
10119476,"baby cardigan;""green cardigan"";""short-sleeve"";""knit pattern"";""lace knit"";""buttoned cardigan"";""baby clothing"";""infant wear"";""handmade knitwear"";""delicate design"";""summer cardigan"";""lightweight knit"";""openwork pattern"""
10119620,"baby cardigan;""baby hat"";""knitted"";""two-tone"";""bouclé yarn"";""pink and purple"";""flower embellishment"";""button front"";""long-sleeve"";""toddler clothing"";""cozy"";""soft texture"";""handmade"";""crochet flower"";""cute"";""baby pattern"";""matching set"";""winter wear"";""comfort"";""warm"""
10119626,"baby cardigan;""baby sweater"";""knit baby hat"";""cable knit"";""button-up cardigan"";""wooden buttons"";""beige sweater"";""textured knit"";""infant clothing"";""cozy knitwear"";""handmade baby clothes"";""baby fashion"";""fall knitting project"";""knit baby set"";""soft yarn"";""comfortable baby apparel"";""wool baby cardigan"";""warm baby outfit"";""neutral color baby clothes"";""knitted garment set"""
10119628,"baby sweater;""knitted"";""classic style"";""cable knit"";""pullover"";""long sleeves"";""crew neck"";""neutral color"";""baby vest"";""V-neck"";""sleeveless"";""casual wear"";""white shirt"";""denim jeans"";""baby clothing"";""comfortable"";""seasonal"";""handmade"";""soft texture"";""infant fashion"";""playtime"";""versatile garment"";""chunky knit"";""cozy knit"""
10119634,"baby cardigan;""knitted"";""chunky knit"";""textured fabric"";""garment"";""long sleeves"";""buttonless"";""soft yarn"";""infant clothing"";""baby clothes"";""cozy"";""beige"";""simple design"";""comfortable"";""snug fit"";""classic style"";""home made"";""DIY project"";""sleeves"";""front open"";""warm"""
10119710,"baby cardigan;""knitted cardigan"";""infant wear"";""yellow cardigan"";""cream cardigan"";""button-up cardigan"";""classic style"";""long sleeves"";""lace trim"";""delicate pattern"";""cozy"";""warm"";""soft fabric"";""spring cardigan"";""fall cardigan"";""DIY knitting pattern"";""garment set"";""layered clothing"";""cute"";""handmade"";""white cardigan"";""yellow and white set"""
10119712,"baby cardigan;""knitted baby sweater"";""infant clothing"";""baby girl outfit"";""pink sweater"";""white sweater"";""lace pattern"";""button-up cardigan"";""long sleeve baby sweater"";""soft yarn"";""delicate design"";""handmade knitwear"";""baby wear"";""knitting pattern"";""pastel colors"""
